# ['Data file recorded 2013/1/18  16:30:9']
# ['%  keyboard_telem with hall effect ']
# ['%  motorgains    = [400, 0, 400, 0, 0, 400, 0, 400, 0, 0]\r\n%  delta         = [16384', ' 16384', ' 16384', ' 16384]"']
# ['%  intervals     = [128, 128, 128, 128]']
# ['% Columns: ']
# ['% time | Rlegs | Llegs | DCR | DCL | GyroX | GryoY | GryoZ | GryoZAvg | AX | AY | AZ | RBEMF | LBEMF | VBAT ']
546   9.59  10.07    82  -208   270  -314   -34   -30  3834  -175   566     0    -8   934  
550   9.59  10.07   191  -222   228  -312  -197   -52  3144  -591  1353    -4    -7   932  
553   9.59  10.07   248  -214   228  -312  -197   -65  3144  -591  1353    -6    -7   933  
556   9.59  10.07   251  -213   228  -312  -197   -78  3144  -591  1353    -2    -3   933  
560   9.59  10.07   540  -296    -5  -501  -119   -88  3563  -736  1738    -8     6   931  
563   9.59  10.07   633   194    -5  -501  -119   -89  3563  -736  1738    -6    -8   931  
566   9.62  10.10   647   -41    -9   -24     4   -87  3426  -889  1664     0     8   930  
570   9.61  10.10   616   102    -9   -24     4   -77  3426  -889  1664     7     8   929  
573   9.64  10.10   906   416    -9   -24     4   -67  3426  -889  1664     0     1   932  
576   9.67  10.12  1020   606  -148   160    80   -50  3330  -843  1459     2     0   930  
580   9.69  10.12   690   677  -148   160    80   -32  3330  -843  1459    20     3   926  
583   9.71  10.14   707   317  -160   186    48   -16  3520  -642  1309    24    22   931  
586   9.76  10.19  1170   580  -160   186    48    -7  3520  -642  1309    11    17   930  
593   9.83  10.24   906   818  -144   181    65     6  3696  -661   791    30    17   927  
596   9.90  10.31  1298   480  -144   181    65    11  3696  -661   791    19    35   929  
600   9.95  10.36  1241   447    16   217    69    16  3366  -409   506    25    40   927  
603  10.00  10.40  1258   693    16   217    69    19  3366  -409   506    28    34   928  
606  10.04  10.48  1501   657    75    29   -20    19  2980  -415   684    24    40   929  
610  10.09  10.55  1642  1026    75    29   -20    14  2980  -415   684    22    28   926  
613  10.11  10.60  1610   914    75    29   -20    10  2980  -415   684    28    36   927  
616  10.19  10.67  1799  1030   105    -5  -100    -8  3373  -425   894    25    36   926  
620  10.24  10.72  3796  2975   105    -5  -100   -26  3373  -425   894    26    39   924  
623  10.31  10.82  3513  2892    22     5   -69   -44  2784  -630   697    40    44   897  
626  10.48  11.03  2326  1569    22     5   -69   -46  2784  -630   697    88    96   916  
633  10.85  11.36  1730  1364   -14  -143   -43   -40  3534  -964   388   108   102   933  
636  11.15  11.59  1015   870   -14  -143   -43   -32  3534  -964   388   132   120   939  
